Index,Raw #,#,Set,Name,Team,Pts.,Yr.,OB/C,Spd/IP,Pos,H,Icon,PU,SO,GB,FB,W,S,S+,DB,TR,HR
'01 186 UL,186,186,UL,Jeff Bagwell,Astros,560,'01,10,B,1B,R,,-,1-2,-,3-,4-10,11-14,-,15-16,-,17-20
'01 404 1st,404,404,1st,Jim Edmonds,Cardinals,560,'01,10,B,"CF+2, LF-RF+1",L,,-,1-3,-,4-,5-11,12-15,-,16-,-,17-20
'01 404 UL,404,404,UL,Jim Edmonds,Cardinals,560,'01,10,B,"CF+2, LF-RF+1",L,,-,1-3,-,4-,5-11,12-15,-,16-,-,17-20
'00 136-1 1st,136,136-1,1st,Manny Ramirez,Indians,560,'00,10,C,LF-RF+1,R,,-,1-2,-,3-,4-9,10-14,-,15-16,-,17-20
'00 136 HRH,136,136,HRH,Manny Ramirez,Indians,560,'00,10,C,LF-RF+1,R,,-,1-2,-,3-,4-9,10-14,-,15-16,-,17-20
'01 135-1 1st,135,135-1,1st,Manny Ramirez,Indians,560,'01,10,C,LF-RF+0,R,,-,1-2,-,-,3-8,9-13,-,14-16,-,17-20
'01 135 UL,135,135,UL,Manny Ramirez,Indians,560,'01,10,C,LF-RF,R,,-,1-2,-,-,3-8,9-13,-,14-16,-,17-20
'02 21-1 UL,21,21-1,UL,Randy Johnson,Diamondbacks,560,'02,3,7,Starter,L,,1-3,4-13,14-16,17-18,19-,20-26,-,-,-,27+
'00 126-1 1st,126,126-1,1st,Roberto Alomar,Indians,560,'00,10,A,2B+3,S,,-,1-,2-,3-4,5-10,11-14,15-16,17-18,-,19-20
'02 114 SS,114,114,SS,Roberto Alomar '93,Blue Jays,560,'02,14,23,2B+6,S,[ G SB ],-,1-2,3-5,6-7,8-12,13-14,15-,16-19,-,20+
'02 118-1 UL,118,118-1,UL,Roy Halladay,Blue Jays,560,'02,5,7,Starter,R,,1-2,3-7,8-15,16-17,-,18-19,-,20-28,-,29+
'02 42-1 UL,42,42-1,UL,Roy Halladay,Blue Jays,560,'02,5,7,Starter,R,,1-2,3-6,7-15,16-17,-,18-19,-,20-26,-,27+
'04 65-1 UL,65,65-1,UL,Scott Rolen,Cardinals,560,'04,12,11,3B+3,R,,-,1-2,3-4,5-7,8-10,11-16,-,17-,-,18+
'00 154 1st,154,154,1st,Terry Shumpert,Rockies,560,'00,10,A,2B+4,R,,-,1-,-,2-5,6-8,9-13,14-,15-18,-,19-20
'01 145-1 1st,145,145-1,1st,Todd Helton,Rockies,560,'01,10,B,1B+1,L,,-,-,1-,2-,3-7,8-13,-,14-17,-,18-20
'01 145 UL,145,145,UL,Todd Helton,Rockies,560,'01,10,B,1B+1,L,,-,-,1-,2-,3-7,8-13,-,14-17,-,18-20
'01 397 1st,397,397,1st,Alex Rodriguez,Mariners,550,'01,10,B,SS+4,R,,-,1-2,3-,-,4-10,11-14,15-,16-17,-,18-20
'01 397 UL,397,397,UL,Alex Rodriguez,Mariners,550,'01,10,B,SS+4,R,,-,1-2,3-,-,4-10,11-14,15-,16-17,-,18-20
'00 327 1st,327,327,1st,Bobby Abreu,Phillies,550,'00,10,A,LF-RF+1,L,,-,1-2,3-,-,4-9,10-14,15-,16-17,18-,19-20
'00 327 FS,327,327,FS,Bobby Abreu,Phillies,550,'00,10,A,LF-RF+1,L,,-,1-2,3-,-,4-9,10-14,15-,16-17,18-,19-20
'03 99-1 UL,99,99-1,UL,Carl Everett,Rangers,550,'03,13,12,OF+1,S,,-,1-,2-3,4-7,8-11,12-16,-,17-,18-,19+
'02 30-1 UL,30,30-1,UL,Chipper Jones,Braves,550,'02,12,15,3B+1,S,,-,1-,2-4,5-,6-9,10-15,-,16-17,-,18+
'02 96 SS,96,96,SS,Chuck Finley '90,Angels,550,'02,5,7,Starter,L,[ - ],1-3,4-8,9-13,14-16,17-,18-19,-,20-24,-,25+
'04 113-3 UL,113,113-3,UL,Curt Schilling,Red Sox,550,'04,5,7,Starter,R,,1-,2-7,8-12,13-17,18-,19-,-,20-22,-,23+
'04 81-1 UL,81,81-1,UL,Curt Schilling,Red Sox,550,'04,5,8,Starter,R,,1-3,4-9,10-14,15-16,17-,18-21,-,22-25,-,26+
'02 15 ASG,15,15,ASG,Derek Lowe,Red Sox,550,'02,4,7,Starter,R,[ 20 ],1-4,5-10,11-15,16-19,-,20-25,-,-,-,26+
'01 229 1st,229,229,1st,Gary Sheffield,Dodgers,550,'01,10,B,LF-RF+1,R,,-,-,1-,2-3,4-10,11-15,-,16-,-,17-20
'01 229 P,229,229,P,Gary Sheffield,Dodgers,550,'01,10,B,LF-RF+1,R,,-,-,1-,2-3,4-10,11-15,-,16-,-,17-20
'01 229 UL,229,229,UL,Gary Sheffield,Dodgers,550,'01,10,B,LF-RF+1,R,,-,-,1-,2-3,4-10,11-15,-,16-,-,17-20
'03 128-1 UL,128,128-1,UL,Jeff Kent,Astros,550,'03,11,13,2B+3,R,S,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
'00 46-1 1st,46,46-1,1st,John Smoltz,Braves,550,'00,6,6,Starter,R,,6-7,1-5,8-12,13-15,16-,17-19,-,20-,-,-
'02 97 SS,97,97,SS,Jose Rijo '90,Reds,550,'02,3,6,Starter,R,[ - ],1-2,3-8,9-13,14-18,19-,20-26,-,-,-,27+
'00 42-1 1st,42,42-1,1st,Kevin Millwood,Braves,550,'00,3,7,Starter,R,,7-9,1-6,10-13,14-18,-,19-,-,20-,-,-
'03 116-1 UL,116,116-1,UL,Larry Walker,Rockies,550,'03,13,11,LF-RF+2,L,G,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
'02 101 SS,101,101,SS,Mike Mussina '92,Orioles,550,'02,5,7,Starter,R,[ - ],1-2,3-5,6-10,11-16,-,17-19,-,20-26,-,27+
'03 19-1 UL,19,19-1,UL,Randy Johnson,Diamondbacks,550,'03,5,7,Starter,L,CY K 20,1-,2-8,9-13,14-16,17-,18-19,-,20-22,-,23+
'02 99 SS,99,99,SS,Ron Gant '93,Braves,550,'02,12,21,LF-RF+1,R,[ - ],-,1-5,6-,7-,8-12,13-15,-,16-18,19-,20+
'03 117 CC,117,117,CC,Yogi Berra,Yankees,550,'03,12,11,"C+8, OF+0",L,S V,-,-,1-2,3-6,7-8,9-16,-,17-18,-,19+
'04 76-1 UL,76,76-1,UL,Adrian Beltre,Dodgers,540,'04,13,13,3B+3,R,,-,1-,2-4,5-7,8-,9-16,-,17-18,-,19+
'04 54-2 UL,54,54-2,UL,Alex Rodriguez,Yankees,540,'04,13,14,3B+3,R,,-,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
'02 339 UL,339,339,UL,Alex Rodriguez,Rangers,540,'02,12,16,SS+3,R,,-,1-3,4-5,6-,7-10,11-14,15-,16-17,-,18+
'00 194 1st,194,194,1st,Carl Everett,Astros,540,'00,9,A,OF+2,S,,-,1-,2-,3-4,5-8,9-12,13-14,15-17,-,18-20
'03 111 SS,111,111,SS,Carlos Baerga,Indians,540,'03,12,14,2B+4,S,S,-,1-,2-4,5-6,7-8,9-16,17-,18-19,-,20+
'01 371 1st,371,371,1st,Ellis Burks,Giants,540,'01,10,B,LF-RF+1,R,,-,-,1-2,3-,4-7,8-14,-,15-16,17-,18-20
'04 96-1 UL,96,96-1,UL,Hank Blalock,Rangers,540,'04,12,10,3B+0,L,,-,1-2,3-4,5-6,7-9,10-16,-,17-18,-,19+
'02 308 UL,308,308,UL,J.D. Drew,Cardinals,540,'02,12,20,LF-RF+1,L,,-,1-2,3-4,5-,6-10,11-15,16-,17-,-,18+
'04 37-1 UL,37,37-1,UL,Jake Peavy,Padres,540,'04,4,7,Starter,R,,1-,2-6,7-13,14-18,19-,20-23,-,24-27,-,28+
'03 266 UL,266,266,UL,Jamie Moyer,Mariners,540,'03,5,7,Starter,L,,1-2,3-6,7-11,12-16,17-,18-19,-,20-21,-,22+
'03 35 P,35,35,P,Jamie Moyer,Mariners,540,'03,5,7,Starter,L,,1-2,3-6,7-11,12-16,17-,18-19,-,20-21,-,22+
'02 8 ASG,8,8,ASG,Jason Giambi,Yankees,540,'02,13,12,1B+0,L,,-,1-3,4-,5-6,7-12,13-16,-,17-,-,18+
'02 120 SS,120,120,SS,Ken Griffey Jr. '97,Mariners,540,'02,13,15,CF+4,L,[ S G HR V ],-,1-4,5-,6-7,8-12,13-14,15-,16-,-,17+
'02 246 UL,246,246,UL,Mark Mulder,Athletics,540,'02,3,7,Starter,L,,1-3,4-7,8-15,16-18,-,19-26,-,-,-,27+
'04 61-1 UL,61,61-1,UL,Melvin Mora,Orioles,540,'04,14,13,3B+1,R,,-,1-2,3-5,6-7,8-10,11-17,-,18-19,-,20+
'03 98-1 UL,98,98-1,UL,Michael Young,Rangers,540,'03,12,15,2B+2,R,,-,1-2,3-5,6-,7-8,9-16,17-,18-,19-,20+
'03 121 CC,121,121,CC,Robin Yount,Brewers,540,'03,12,16,"CF+2, SS+4",R,G S V,-,1-,2-4,5-,6-9,10-15,16-,17-18,19-,20+
'05 170 CC,170,170,CC,Robin Yount,Brewers,540,'05,12,19,SS+5,R,G S V,,1-,2-4,5-,6-9,10-13,14-15,16-17,18-19,20+
'00 455 1st,455,455,1st,Shawn Green,Blue Jays,540,'00,9,A,LF-RF+1,L,,-,1-,2-3,4-,5-8,9-12,13-,14-16,-,17-20
'00 73-1 1st,73,73-1,1st,Shawn Green,Dodgers,540,'00,9,A,LF-RF+1,L,,-,1-,2-3,4-,5-8,9-12,13-,14-16,-,17-20
'00 73 HRH,73,73,HRH,Shawn Green,Dodgers,540,'00,9,A,LF-RF+1,L,,-,1-,2-3,4-,5-8,9-12,13-,14-16,-,17-20
'04 57-1 UL,57,57-1,UL,Todd Helton,Rockies,540,'04,14,11,1B+1,L,,-,1-,2-3,4-6,7-12,13-17,-,18-19,-,20+
'04 112-2 UL,112,112-2,UL,Vladimir Guerrero,Angels,540,'04,13,14,LF-RF+1,R,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
'05 76-1 UL,76,76-1,UL,Aaron Rowand,White Sox,530,'05,11,16,CF+1,R,,,1-,2-3,4-5,6-7,8-13,14-15,16-18,-,19+
'02 249 UL,249,249,UL,Barry Zito,Athletics,530,'02,4,6,Starter,L,,1-4,5-10,11-14,15-17,18-,19-25,-,-,-,26+
'04 2 P,2,2,P,Barry Zito,Athletics,530,'04,4,7,Starter,L,,1-2,3-6,7-12,13-17,18-,19-22,-,23-25,-,26+
'04 251 UL,251,251,UL,Barry Zito,Athletics,530,'04,4,7,Starter,L,,1-2,3-6,7-12,13-17,18-,19-22,-,23-25,-,26+
'04 315 UL,315,315,UL,Edgar Renteria,Cardinals,530,'04,12,21,SS+5,R,G S,-,1-,2-4,5-6,7-9,10-14,15-17,18-19,-,20+
'00 257 1st,257,257,1st,Eric Milton,Twins,530,'00,6,6,Starter,L,,5-6,1-4,7-9,10-15,16-,17-19,-,20-,-,-
'04 1-1 UL,1,1-1,UL,Garrett Anderson,Angels,530,'04,11,11,LF-RF+2,L,S,-,1-,2-4,5-6,7-8,9-15,-,16-18,-,19+
'01 444 1st,444,444,1st,Ivan Rodriguez,Rangers,530,'01,9,B,C+9,R,,-,-,1-4,5-,-,6-11,12-,13-15,16-,17-20
'01 444 P,444,444,P,Ivan Rodriguez,Rangers,530,'01,9,B,C+9,R,,-,-,1-4,5-,-,6-11,12-,13-15,16-,17-20
'01 444 UL,444,444,UL,Ivan Rodriguez,Rangers,530,'01,9,B,C+9,R,,-,-,1-4,5-,-,6-11,12-,13-15,16-,17-20
'02 1-1 UL,1,1-1,UL,Jason Giambi,Yankees,530,'02,14,12,1B+0,L,,-,1-2,3-4,5-6,7-12,13-16,-,17-18,-,19+
'02 240 UL,240,240,UL,Jason Giambi,Athletics,530,'02,14,12,1B+0,L,,-,1-2,3-4,5-6,7-12,13-16,-,17-18,-,19+
'03 203 UL,203,203,UL,Jason Giambi,Yankees,530,'03,13,9,1B+0,L,S,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'01 234 1st,234,234,1st,Jeff D'Amico,Brewers,530,'01,3,7,Starter,R,,1-3,4-6,7-12,13-17,18-,19-20,-,-,-,-
'01 234 AP,234,234,AP,Jeff D'Amico,Brewers,530,'01,3,7,Starter,R,,1-3,4-6,7-12,13-17,18-,19-20,-,-,-,-
'01 234 UL,234,234,UL,Jeff D'Amico,Brewers,530,'01,3,7,Starter,R,,1-3,4-6,7-12,13-17,18-,19-20,-,-,-,-
'02 104 SS,104,104,SS,Jim Thome '96,Indians,530,'02,14,12,1B+1,L,[ S ],-,1-5,6-,7-,8-13,14-,-,15-17,-,18+
'00 36-1 1st,36,36-1,1st,Ken Griffey Jr.,Reds,530,'00,9,A,"CF+2, LF-RF+1",L,,-,1-,2-,3-5,6-10,11-14,15-,16-,-,17-20
'00 36-1 HRH,36,36-1,HRH,Ken Griffey Jr.,Reds,530,'00,9,A,"CF+2, LF-RF+1",L,,-,1-,2-,3-5,6-10,11-14,15-,16-,-,17-20
'02 93-1 UL,93,93-1,UL,Kevin Brown,Dodgers,530,'02,4,6,Starter,R,,1-3,4-8,9-16,17-,18-,19-25,-,-,-,26+
'04 117 CC,117,117,CC,Ralph Kiner,Pirates,530,'04,13,12,LF-RF+1,R,HR S,-,1-3,4-,5-6,7-11,12-15,-,16-,17-,18+
'04 64-1 UL,64,64-1,UL,Randy Johnson,Diamondbacks,530,'04,5,7,Starter,L,,1-,2-8,9-14,15-17,18-,19-,-,20-25,-,26+
'03 6-1 UL,6,6-1,UL,Adam Kennedy,Angels,520,'03,12,14,2B+3,L,,-,1-,2-3,4-5,6-7,8-15,16-,17-19,20-,21+
'02 25 ASG,25,25,ASG,Barry Zito,Athletics,520,'02,4,7,Starter,L,,1-3,4-9,10-13,14-17,-,18-20,-,21-,-,22+
'05 74-1 UL,74,74-1,UL,Brad Wilkerson,Nationals,520,'05,13,15,"OF+1, 1B+1",L,,,1-2,3-4,5-6,7-10,11-15,16-,17-,18-,19+
'05 32-1 UL,32,32-1,UL,Carlos Beltran,Mets,520,'05,11,23,CF+2,S,,,1-,2-3,4-6,7-11,12-,13-16,17-,18-,19+
'02 47-1 UL,47,47-1,UL,Cliff Floyd,Marlins,520,'02,13,18,LF-RF+1,L,,-,1-4,5-,6-7,8-9,10-14,15-,16-17,-,18+
'01 81-1 1st,81,81-1,1st,Ellis Burks,Indians,520,'01,10,B,LF-RF+1,R,,-,-,1-2,3-,4-8,9-15,-,16-,17-,18-20
'03 1-1 UL,1,1-1,UL,Garret Anderson,Angels,520,'03,11,11,LF-RF+1,L,S,-,1-,2-3,4-6,7-,8-14,-,15-18,-,19+
'03 97-1 UL,97,97-1,UL,Jacque Jones,Twins,520,'03,12,18,LF-RF+2,L,,-,1-2,3-5,6-,7-,8-15,16-,17-18,19-,20+
'00 53-1 1st,53,53-1,1st,Juan Gonzalez,Tigers,520,'00,9,B,LF-RF+0,R,,-,1-2,-,3-5,6-8,9-13,-,14-15,-,16-20
'00 29-1 1st,29,29-1,1st,Kerry Wood,Cubs,520,'00,4,6,Starter,R,,10-11,1-9,12-13,14-16,17-19,20-,-,-,-,-
'02 146-1 UL,146,146-1,UL,Lance Berkman,Astros,520,'02,13,14,LF-RF+1,S,,-,1-3,4-5,6-,7-11,12-15,-,16-18,-,19+
'03 153 UL,153,153,UL,Mike Sweeney,Royals,520,'03,13,12,1B+0,R,,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
'03 27 P,27,27,P,Mike Sweeney,Royals,520,'03,13,12,1B+0,R,,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
'03 119 CC,119,119,CC,Pee Wee Reese,Dodgers,520,'03,12,21,SS+4,R,S G,-,1-,2-5,6-,7-12,13-17,18-,19-,20-,21+
'00 440 1st,440,440,1st,Rafael Palmeiro,Rangers,520,'00,10,C,DH,L,,-,-,-,1-4,5-9,10-14,-,15-16,-,17-20
'00 440 HRH,440,440,HRH,Rafael Palmeiro,Rangers,520,'00,10,C,DH,L,,-,-,-,1-4,5-9,10-14,-,15-16,-,17-20
'02 107 SS,107,107,SS,Randy Johnson '95,Mariners,520,'02,5,6,Starter,L,[ CY K ],1-2,3-11,12-14,15-16,17-19,20-27,-,-,-,28+
'02 98-1 UL,98,98-1,UL,Roberto Alomar,Indians,520,'02,12,21,2B+2,S,,-,-,1-3,4-5,6-9,10-15,16-,17-18,19-,20+
'03 129-1 UL,129,129-1,UL,Rocco Baldelli,Devil Rays,520,'03,12,13,CF+1,R,R,-,1-,2-3,4-5,6-8,9-15,-,16-18,19-,20+
'04 226 UL,226,226,UL,Roger Clemens,Yankees,520,'04,5,7,Starter,R,,1-2,3-8,9-14,15-17,18-,19-21,-,22-23,-,24+
'05 143-1 UL,143,143-1,UL,Roger Clemens,Astros,520,'05,5,6,Starter,R,CY,1-2,3-7,8-13,14-16,17-,18-19,-,20-25,-,26+
'05 95-1 UL,95,95-1,UL,Tim Hudson,Braves,520,'05,5,7,Starter,R,,1-,2-7,8-11,12-16,17-18,19-,-,20-24,-,25+
'02 243 UL,243,243,UL,Tim Hudson,Athletics,520,'02,2,7,Starter,R,,1-3,4-8,9-17,18-19,-,20-25,-,-,-,26+
'04 97-1 UL,97,97-1,UL,Vinny Castilla,Rockies,520,'04,12,8,3B+3,R,,-,1-2,3-5,6-7,8-10,11-14,-,15-18,-,19+
'04 210 UL,210,210,UL,Vladimir Guerrero,Expos,520,'04,13,16,LF-RF+1,R,,-,1-,2-4,5-6,7-9,10-15,16-,17-,18-,19+
'00 400 1st,400,400,1st,Alex Rodriguez,Mariners,510,'00,8,A,SS+5,R,,-,1-,2-,3-4,5-9,10-12,13-,14-,-,15-20
'00 400 HRH,400,400,HRH,Alex Rodriguez,Mariners,510,'00,8,A,SS+5,R,,-,1-,2-,3-4,5-9,10-12,13-,14-,-,15-20
'00 12-1 1st,12,12-1,1st,Andres Galarraga,Braves,510,'00,9,B,1B+0,R,,-,1-4,-,-,5-9,10-14,-,15-,-,16-20
'02 86-1 UL,86,86-1,UL,Barry Zito,Athletics,510,'02,4,6,Starter,L,,1-3,4-9,10-13,14-17,-,18-23,-,-,-,24+
'05 196 UL,196,196,UL,Ben Sheets,Brewers,510,'05,5,7,Starter,R,K,1-2,3-8,9-14,15-17,-,18-19,-,20-24,-,25+
'00 311 1st,311,311,1st,Bernie Williams,Yankees,510,'00,10,B,OF+1,S,,-,1-,2-3,4-,5-8,9-16,-,17-,18-,19-20
'00 311 DS,311,311,DS,Bernie Williams,Yankees,510,'00,10,B,OF+1,S,,-,1-,2-3,4-,5-8,9-16,-,17-,18-,19-20
'01 323 1st,323,323,1st,Bobby Abreu,Phillies,510,'01,10,A,LF-RF+2,L,,-,1-2,3-,4-,5-10,11-14,15-,16-17,18-,19-20
'01 342 1st,342,342,1st,Brian Giles,Pirates,510,'01,10,B,"CF+2, LF-RF+1",L,,-,-,1-2,3-,4-10,11-15,-,16-17,-,18-20
'01 342 UL,342,342,UL,Brian Giles,Pirates,510,'01,10,B,"CF+2, LF-RF+1",L,,-,-,1-2,3-,4-10,11-15,-,16-17,-,18-20
'04 62-1 UL,62,62-1,UL,Danny Bautista,Diamondbacks,510,'04,13,16,OF+0,R,,-,1-,2-5,6-7,8-9,10-18,-,19-21,-,22+
'01 2-1 1st,2,2-1,1st,Darin Erstad,Angels,510,'01,10,A,LF-RF+2,L,,-,-,1-3,4-,5-6,7-15,16-,17-18,-,19-20
'01 2 UL,2,2,UL,Darin Erstad,Angels,510,'01,10,A,LF-RF+2,L,,-,-,1-3,4-,5-6,7-15,16-,17-18,-,19-20
'00 7-1 1st,7,7-1,1st,Erubiel Durazo,Diamondbacks,510,'00,10,B,1B+0,L,,-,1-4,-,-,5-8,9-16,-,17-,-,18-20
'00 7 FS,7,7,FS,Erubiel Durazo,Diamondbacks,510,'00,10,B,1B+0,L,,-,1-4,-,-,5-8,9-16,-,17-,-,18-20
'04 32-1 UL,32,32-1,UL,Gary Sheffield,Braves,510,'04,13,16,LF-RF+1,R,S,-,1-,2-4,5-6,7-10,11-15,16-,17-18,-,19+
'04 52-1 UL,52,52-1,UL,Jason Giambi,Yankees,510,'04,14,8,1B+0,L,,-,1-,2-4,5-6,7-13,14-17,-,18-,-,19+
'04 80-1 UL,80,80-1,UL,Jim Edmonds,Cardinals,510,'04,11,15,CF+3,L,G,-,1-2,3-4,5-6,7-11,12-15,-,16-17,-,18+
'01 350 1st,350,350,1st,John Vander Wal,Pirates,510,'01,10,B,LF-RF+1,L,,-,1-3,-,4-,5-10,11-13,14-,15-17,-,18-20
'02 3 ASG,3,3,ASG,Mark Buehrle,White Sox,510,'02,3,7,Starter,L,,1-4,5-8,9-15,16-18,19-,20-23,-,-,-,24+
'05 43-1 UL,43,43-1,UL,Miguel Tejada,Orioles,510,'05,11,12,SS+4,R,S,,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
'04 231 UL,231,231,UL,Mike Mussina,Yankees,510,'04,5,7,Starter,R,,1-,2-6,7-12,13-16,17-,18-19,-,20-24,-,25+
'01 185 1st,185,185,1st,Moises Alou,Astros,510,'01,10,B,LF-RF+1,R,,-,-,1-,2-4,5-7,8-15,-,16-17,-,18-20
'01 68-1 1st,68,68-1,1st,Nomar Garciaparra,Red Sox,510,'01,10,B,SS+2,R,,-,-,1-,2-3,4-5,6-14,-,15-18,-,19-20
'01 68 UL,68,68,UL,Nomar Garciaparra,Red Sox,510,'01,10,B,SS+2,R,,-,-,1-,2-3,4-5,6-14,-,15-18,-,19-20
'00 18-1 1st,18,18-1,1st,Omar Daal,Diamondbacks,510,'00,5,7,Starter,R,,5-6,1-4,7-11,12-15,16-17,18-19,-,20-,-,-
'04 50-1 UL,50,50-1,UL,Pedro Martinez,Red Sox,510,'04,5,7,Starter,R,K,1-2,3-8,9-14,15-17,-,18-19,-,20-26,-,27+
'02 23-1 UL,23,23-1,UL,Roberto Alomar,Mets,510,'02,12,21,2B+2,S,,-,-,1-3,4-5,6-10,11-15,16-,17-18,19-,20+
'02 152 UL,152,152,UL,Roy Oswalt,Astros,510,'02,2,7,Starter,R,,1-3,4-10,11-16,17-19,-,20-24,-,-,-,25+
'03 110-1 UL,110,110-1,UL,Todd Helton,Rockies,510,'03,13,11,1B+1,L,S G,-,1-2,3-5,6-,7-11,12-16,-,17-18,-,19+
'05 96-1 UL,96,96-1,UL,Travis Hafner,Indians,510,'05,13,10,DH,L,,,1-2,3-4,5-7,8-11,12-15,-,16-18,-,19+
'04 73-1 UL,73,73-1,UL,Troy Glaus,Angels,510,'04,10,11,3B+1,R,,-,1-2,3-4,5-6,7-10,11-13,-,14-16,-,17+
'02 29-1 UL,29,29-1,UL,Vicente Padilla,Phillies,510,'02,5,7,Starter,R,,1-2,3-6,7-15,16-,-,17-19,-,20-26,-,27+
'00 357 1st,357,357,1st,Andy Ashby,Padres,500,'00,4,7,Starter,R,,5-7,1-4,8-13,14-16,17-,18-19,-,20-,-,-
'00 50-1 1st,50,50-1,1st,Brady Anderson,Orioles,500,'00,10,A,OF+1,L,,-,1-,2-,3-5,6-12,13-16,17-,18-,-,19-20
'02 105 SS,105,105,SS,Chipper Jones '98,Braves,500,'02,13,15,3B+2,S,[ - ],-,1-3,4-5,6-,7-12,13-14,15-,16-17,18-,19+
'02 124 SS,124,124,SS,Ellis Burks '96,Rockies,500,'02,13,18,CF+3,R,[ - ],-,1-3,4-6,7-,8-11,12-14,-,15-17,18-,19+
'04 102-1 UL,102,102-1,UL,Javier Vazquez,Yankees,500,'04,5,7,Starter,R,,1-3,4-9,10-14,15-16,17-,18-19,-,20-23,-,24+
'03 274 UL,274,274,UL,Jim Edmonds,Cardinals,500,'03,13,10,CF+3,L,G,-,1-3,4-,5-6,7-11,12-16,-,17-18,-,19+
'04 222 UL,222,222,UL,Jose Reyes,Mets,500,'04,11,19,SS+4,S,R,-,-,1-3,4-5,6-7,8-14,15-16,17-18,19-,20+
'02 132-1 UL,132,132-1,UL,Josh Beckett,Marlins,500,'02,3,5,Starter,R,,1-4,5-11,12-13,14-18,19-,20-24,-,-,-,25+
'01 111-1 1st,111,111-1,1st,Julian Tavarez,Cubs,500,'01,6,7,Starter,R,,1-2,3-4,5-12,13-14,15-16,17-19,-,20-,-,-
'04 101-1 UL,101,101-1,UL,Kazuo Matsui,Mets,500,'04,12,18,SS+4,S,R,-,1-,2-3,4-6,7-9,10-14,15-17,18-19,20-21,22+
'03 116 CC,116,116,CC,Larry Doby,Indians,500,'03,12,11,LF-RF+2,L,S,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
'04 82-2 UL,82,82-2,UL,Magglio Ordonez,White Sox,500,'04,11,12,LF-RF+1,R,,-,1-,2-4,5-6,7-9,10-15,-,16-18,-,19+
'03 222 UL,222,222,UL,Mark Mulder,Athletics,500,'03,5,7,Starter,L,,1-,2-5,6-12,13-16,17-,18-19,-,20-22,-,23+
'03 37 P,37,37,P,Mark Mulder,Athletics,500,'03,5,7,Starter,L,,1-,2-5,6-12,13-16,17-,18-19,-,20-22,-,23+
'02 108 SS,108,108,SS,Mike Piazza '97,Dodgers,500,'02,13,16,C+6,R,[ S ],-,1-2,3-,4-7,8-11,12-15,-,16-17,-,18+
'03 126-1 UL,126,126-1,UL,Randy Wolf,Phillies,500,'03,5,7,Starter,L,,1-,2-5,6-11,12-16,17-,18-19,-,20-24,-,25+
'01 193 1st,193,193,1st,Richard Hidalgo,Astros,500,'01,9,B,"CF+3, LF-RF+2",R,,-,1-2,-,3-,4-8,9-12,13-,14-16,-,17-20
'01 193 P,193,193,P,Richard Hidalgo,Astros,500,'01,9,B,"CF+3, LF-RF+2",R,,-,1-2,-,3-,4-8,9-12,13-,14-16,-,17-20
'04 66-1 UL,66,66-1,UL,Roger Clemens,Astros,500,'04,5,7,Starter,R,,1-,2-7,8-13,14-17,18-,19-22,-,23-24,-,25+
'04 98-1 UL,98,98-1,UL,Roger Clemens,Astros,500,'04,5,7,Starter,R,,1-,2-6,7-11,12-17,18-,19-20,-,21-24,-,25+
'04 341 UL,341,341,UL,Roy Halladay,Blue Jays,500,'04,5,8,Starter,R,20 CY,1-2,3-8,9-15,16-17,-,18-20,-,21-23,-,24+
'00 115-1 1st,115,115-1,1st,Ryan Klesko,Padres,500,'00,10,B,1B+0,L,,-,1-,2-3,4-5,6-9,10-15,-,16-17,-,18-20
'02 32 ASG,32,32,ASG,Shawn Green,Dodgers,500,'02,11,18,LF-RF+1,L,,-,1-3,4-5,6-,7-10,11-14,15-,16-,-,17+
'05 108-1 UL,108,108-1,UL,Todd Helton,Rockies,500,'05,14,10,1B+1,L,G,,1-,2-3,4-6,7-12,13-17,-,18-19,-,20+
'00 351 1st,351,351,1st,Todd Ritchie,Pirates,500,'00,5,7,Starter,R,,5-6,1-4,7-12,13-15,16-,17-19,-,20-,-,-
'05 161-1 UL,161,161-1,UL,Vinny Castilla,Nationals,500,'05,13,10,3B+3,R,,,1-,2-3,4-6,7-11,12-15,-,16-18,-,19+
'04 100-1 UL,100,100-1,UL,Vladimir Guerrero,Angels,500,'04,13,12,LF-RF+1,R,,-,1-,2-4,5-6,7-11,12-17,-,18-,-,19+
'04 323 UL,323,323,UL,Aubrey Huff,Devil Rays,490,'04,11,9,LF-RF+1,L,,-,1-,2-4,5-6,7-9,10-15,-,16-18,-,19+
'02 103 SS,103,103,SS,Barry Larkin '95,Reds,490,'02,13,20,SS+6,R,[ V G ],-,1-2,3-5,6-7,8-11,12-14,15-16,17-18,19-,20+
'05 101-1 UL,101,101-1,UL,C.C. Sabathia,Indians,490,'05,3,7,Starter,L,,1-2,3-,4-12,13-18,19-,20-23,-,24-26,-,27+
